(80, 10, 10, 26, 13),
(70, 5, 11, 11, 7),
(30, 6, 10, 16, 8),
(40, 7, 10, 20, 10),
(80, 6, 10, 24, 13),
(70, 6, 10, 26, 14),
(60, 6, 10, 34, 17),
(90, 9, 10, 50, 25),
(40, 7, 10, 18, 9),
(80, 8, 11, 43, 22),
(60, 10, 10, 28, 14),
(80, 6, 10, 16, 9),
(40, 6, 11, 23, 12),
(30, 5, 10, 18, 9),
(90, 9, 10, 55, 28),
(50, 7, 10, 28, 14),
(30, 8, 10, 24, 12),
(60, 7, 10, 31, 16),
(50, 5, 10, 13, 7),
(70, 10, 10, 50, 25),
(70, 5, 10, 12, 8),
(100, 9, 10, 54, 27),
(70, 6, 11, 23, 15),
(100, 9, 10, 39, 20),
(100, 5, 10, 11, 9),
(30, 7, 11, 23, 12),
(30, 6, 10, 17, 9),
(70, 7, 10, 22, 11),
(60, 7, 11, 18, 9),
(90, 8, 11, 44, 22),
(40, 8, 10, 18, 9),
(40, 8, 10, 10, 5),
(70, 10, 10, 37, 19),
(80, 7, 10, 39, 20),
(80, 5, 12, 13, 8),
(40, 5, 11, 19, 10),
(90, 7, 10, 15, 9),
(70, 7, 10, 24, 12),
(30, 9, 10, 17, 9),
(50, 8, 10, 29, 15),
(50, 8, 11, 31, 16),
(50, 5, 11, 11, 7),
(80, 7, 10, 42, 21),
(60, 8, 10, 37, 19),
(100, 7, 11, 18, 9),
(90, 7, 10, 43, 22),
(100, 6, 11, 25, 18),
(90, 10, 10, 74, 37),
(80, 10, 10, 53, 27),
(50, 6, 11, 14, 7),
(90, 5, 11, 11, 9),
(60, 5, 11, 19, 10),
(60, 8, 10, 31, 16),
(70, 9, 10, 26, 13),
(40, 9, 11, 24, 12),
(30, 8, 11, 20, 10),
(80, 5, 10, 13, 9),
(50, 7, 11, 32, 16),
(30, 10, 10, 18, 9),
(70, 5, 11, 11, 8),
(90, 10, 10, 55, 28),
(90, 6, 10, 16, 11),
(50, 6, 10, 16, 8),
(100, 6, 11, 32, 16),
(90, 6, 10, 31, 16),
(40, 5, 10, 12, 9),
(100, 7, 11, 58, 29),
(100, 8, 10, 33, 17),
(80, 8, 10, 51, 26),
(50, 5, 10, 14, 7),
(60, 6, 10, 25, 13),
(70, 6, 10, 24, 16),
(40, 7, 10, 14, 7),
(80, 9, 11, 51, 26),
(60, 6, 10, 28, 14),
(100, 10, 10, 56, 28),
(40, 6, 10, 19, 10),
(70, 8, 11, 39, 20),
(100, 8, 10, 63, 32),
(30, 9, 10, 17, 9),
(80, 6, 10, 37, 19),
(50, 9, 10, 28, 14),
(40, 10, 11, 29, 15),
(40, 7, 10, 15, 8),
(60, 9, 10, 47, 24),
(80, 6, 10, 21, 12),
(70, 8, 11, 37, 19),
(50, 7, 10, 20, 10),
(100, 10, 11, 63, 32),
(60, 7, 10, 24, 12),
(60, 9, 10, 32, 16),
(40, 9, 10, 30, 15),
(100, 5, 11, 10, 9),
(50, 9, 10, 33, 17),
(70, 6, 11, 16, 8),
(80, 9, 10, 48, 24),
(50, 10, 10, 31, 16),
(30, 7, 11, 20, 10),
(60, 5, 11, 13, 10),
(40, 6, 11, 21, 11),
(70, 5, 11, 15, 8),
(30, 10, 11, 16, 8),
(30, 7, 11, 18, 9),
(80, 5, 11, 12, 9),
(90, 8, 10, 62, 31),
(40, 10, 10, 33, 17),
(40, 8, 10, 11, 6),
(60, 7, 11, 40, 20),
(80, 8, 10, 37, 19),
(70, 7, 10, 40, 20),
(60, 10, 11, 40, 20),
(50, 6, 10, 24, 12),
(30, 8, 10, 15, 8),
(80, 7, 10, 38, 19),
(30, 6, 10, 24, 12),
(100, 6, 10, 19, 10),
(70, 7, 10, 38, 19),
(40, 8, 10, 21, 11),
(60, 5, 11, 16, 8),
(80, 7, 10, 21, 12),
(70, 5, 11, 12, 8),
(30, 9, 10, 21, 11),
(50, 8, 10, 26, 13),
(50, 7, 10, 13, 7),
(90, 7, 10, 46, 23),
(50, 6, 10, 24, 12),
(50, 8, 11, 29, 15),
(100, 5, 11, 10, 8),
(50, 5, 11, 13, 10),
(90, 5, 11, 12, 9),
(50, 10, 10, 23, 12),
(60, 6, 10, 25, 13),
(90, 6, 10, 18, 12),
(90, 7, 10, 37, 19),
(90, 8, 10, 30, 15),
(90, 6, 10, 33, 17),
(100, 7, 11, 54, 27),
(40, 6, 10, 13, 7),
(60, 6, 10, 28, 14),
(60, 8, 10, 39, 20),
(90, 9, 10, 30, 15),
(50, 5, 11, 11, 7),
(40, 7, 10, 20, 10),
(40, 9, 11, 14, 12),
(70, 6, 10, 23, 18),
(90, 5, 11, 12, 9),
(70, 10, 10, 37, 19),
(60, 8, 10, 48, 24),
(30, 6, 10, 27, 14),
(80, 6, 10, 22, 11),
(100, 6, 11, 31, 16),
(40, 7, 10, 25, 13),
(100, 7, 11, 25, 13),
(30, 8, 10, 19, 10),
(90, 9, 10, 60, 30),
(80, 6, 10, 28, 14),
(70, 5, 10, 17, 9),
(70, 8, 11, 36, 18),
(70, 9, 11, 45, 23),
(60, 10, 10, 37, 19),
(70, 6, 11, 24, 12),
(50, 7, 10, 29, 15),
(70, 8, 11, 48, 24),
(60, 7, 10, 40, 20),
(40, 6, 11, 13, 7),
(40, 5, 11, 16, 14),
(70, 9, 10, 46, 23),
(80, 5, 11, 11, 9),
(100, 5, 11, 10, 9),
(100, 9, 10, 62, 31),
(80, 10, 10, 61, 31),
(40, 10, 11, 30, 15),
(80, 8, 10, 45, 23),
(50, 6, 10, 29, 15),
(50, 9, 10, 24, 12),
(60, 5, 10, 12, 9),
(70, 5, 11, 12, 8),
(60, 5, 10, 13, 8),
(30, 7, 11, 21, 11),
(50, 5, 10, 11, 9),
(100, 8, 10, 54, 27),
(80, 5, 11, 14, 8),
(30, 6, 10, 18, 9),
(40, 8, 10, 26, 13),
(60, 7, 11, 21, 18),
(30, 8, 10, 19, 10),
(40, 9, 10, 21, 11),
(50, 6, 10, 12, 7),
(70, 10, 10, 42, 21),
(30, 7, 11, 21, 11),
(100, 5, 10, 11, 9),
(80, 9, 10, 29, 15),
(40, 8, 10, 20, 10),
(40, 6, 10, 15, 8),
(60, 9, 10, 42, 21),
(50, 9, 10, 32, 16),
(60, 6, 10, 21, 15),
(70, 7, 10, 23, 12),
(80, 7, 10, 40, 20),
(90, 6, 10, 25, 13),
(90, 6, 10, 21, 11),
(100, 8, 10, 78, 39),
(40, 5, 10, 17, 9),
(60, 6, 10, 32, 16),
(30, 9, 11, 19, 10),
(50, 8, 11, 29, 15),
(30, 10, 10, 18, 9),
(50, 7, 10, 26, 13),
(40, 7, 10, 19, 10),
(70, 6, 10, 17, 9),
(80, 7, 10, 44, 22),
(90, 8, 10, 26, 16),
(80, 6, 10, 23, 12),
(90, 7, 10, 43, 22),
(60, 9, 10, 48, 24),
(30, 10, 10, 19, 10),
(90, 7, 10, 27, 14),
(50, 8, 10, 29, 15),
(80, 8, 10, 59, 30),
(50, 10, 10, 24, 12),
(40, 7, 10, 14, 7),
(40, 10, 10, 30, 15),
(80, 6, 10, 29, 15),
(100, 7, 11, 50, 25),
(60, 10, 11, 42, 21),
(60, 8, 10, 36, 18),
(70, 6, 11, 26, 13),
(100, 6, 11, 23, 12),
(100, 10, 11, 67, 34),
(30, 8, 10, 20, 10),
(80, 9, 10, 47, 24),
(70, 8, 11, 35, 18),
(80, 10, 10, 44, 22),
(90, 10, 10, 69, 35),
(100, 6, 11, 34, 17),
(100, 5, 10, 11, 8),
(70, 5, 11, 17, 9),
(80, 5, 11, 12, 9),
(60, 8, 10, 27, 14),
(50, 5, 11, 18, 9),
(50, 7, 10, 21, 11),
(70, 5, 11, 13, 9),
(70, 7, 11, 38, 19),
(90, 5, 11, 11, 8),
(60, 5, 10, 12, 7),
(50, 6, 10, 20, 10),
(90, 10, 10, 52, 26),
(50, 5, 10, 15, 8),
(60, 7, 10, 22, 11),
(100, 9, 11, 55, 28),
(100, 7, 11, 32, 16),
(40, 9, 11, 22, 11),
(40, 6, 11, 18, 9),
(40, 5, 11, 13, 7),
(90, 8, 10, 39, 20),
(100, 5, 10, 11, 8),
(70, 8, 11, 42, 21),
(50, 6, 10, 20, 10),
(30, 8, 10, 22, 11),
(60, 6, 10, 20, 10),
(50, 10, 10, 44, 22),
(60, 6, 10, 19, 10),
(90, 6, 10, 19, 12),
(60, 7, 11, 28, 14),
(60, 5, 10, 12, 8),
(30, 9, 11, 21, 11),
(40, 6, 11, 22, 11),
(40, 8, 10, 20, 10),
(80, 5, 11, 12, 8),
(90, 5, 10, 11, 8),
(70, 7, 10, 30, 15),
(40, 10, 11, 31, 16),
(40, 8, 10, 24, 12),
(40, 7, 10, 12, 6),
(90, 9, 10, 32, 16),
(70, 6, 10, 28, 14),
(80, 8, 10, 34, 17),
(100, 10, 10, 75, 38),
(30, 6, 10, 23, 12),
(50, 7, 10, 33, 17),
(30, 6, 10, 18, 9),
(70, 9, 10, 26, 13),
(80, 7, 10, 31, 16),
(30, 7, 11, 19, 10),
(40, 5, 10, 18, 9),
(50, 8, 11, 22, 11),
(50, 9, 10, 36, 18),
(80, 6, 10, 22, 11),
(70, 10, 10, 33, 17),
(80, 6, 10, 27, 14),
(70, 6, 11, 17, 9),
(30, 9, 10, 23, 12),
(80, 7, 10, 30, 15),
(100, 6, 11, 25, 13),
(70, 5, 11, 15, 9),
(70, 9, 10, 44, 22),
(60, 5, 10, 13, 9),
(90, 7, 10, 32, 16),
(90, 9, 10, 35, 18),
(50, 8, 10, 23, 12),
(40, 9, 10, 26, 13),
